"last_name, first_name",player_id,year,home_run,xba,xslg,xwoba,xobp,xiso,xwobacon,xbacon,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent
"Cabrera, Asdrubal",452678,2016,23,0.254,0.423,0.317,0.314,0.17,0.358,0.317,88.9,15.5,36.4,5.7,7.4,33.3
"Ellsbury, Jacoby",453056,2016,9,0.267,0.36,0.307,0.334,0.094,0.317,0.314,86.9,10.7,30.8,1.7,3.2,31.4
"Tulowitzki, Troy",453064,2016,24,0.266,0.49,0.351,0.331,0.224,0.4,0.335,90,14.2,33.7,9.6,7.3,40.8
"Blackmon, Charlie",453568,2016,29,0.296,0.486,0.362,0.358,0.19,0.403,0.36,87.7,15.2,39.1,6.8,5.6,33.5
"Frazier, Todd",453943,2016,40,0.22,0.427,0.314,0.299,0.207,0.374,0.301,89.1,20.5,31.7,10.1,4.1,35.6
"Markakis, Nick",455976,2016,13,0.276,0.415,0.337,0.358,0.139,0.357,0.333,90.7,10.7,37.7,4.9,5.7,42.6
"Pedroia, Dustin",456030,2016,15,0.285,0.403,0.331,0.348,0.118,0.335,0.322,88.6,8.6,35.3,2.5,3.9,28.9
"Nunez, Eduardo",456488,2016,16,0.255,0.39,0.299,0.299,0.135,0.33,0.304,89.6,8.4,28.8,4.4,3.4,37
"McCutchen, Andrew",457705,2016,24,0.259,0.457,0.343,0.342,0.199,0.401,0.343,89.6,16.5,32.3,8.5,7.4,41.7
"Upton, Justin",457708,2016,31,0.253,0.488,0.342,0.317,0.236,0.453,0.368,91.3,15.5,33.3,12.5,7.4,45.5
"Turner, Justin",457759,2016,27,0.276,0.486,0.354,0.342,0.21,0.395,0.339,90.6,17,37.4,8.8,5.3,41.4
"Posey III, Buster",457763,2016,14,0.288,0.48,0.361,0.366,0.192,0.371,0.328,90.5,9.9,32.6,6.9,6.3,43.2
"Espinosa, Danny",457787,2016,24,0.197,0.361,0.286,0.3,0.164,0.362,0.302,90.1,14.8,26.6,8.2,4.8,33.4
